Sr No,Service,Code,Type,Disc,BA Disc,Disc Type,Start With,Min Len,Max Len,Min Amt,Max Amt,Remarks,Status
1,AIRTEL,AR,Mobile Recharge,3,0.1,%,"6,7,8,9",10,10,1,10000,,Active
2,BSNL,BS,Mobile Recharge,6.5,0,%,*,10,10,1,10000,,Active
3,IDEA,ID,Mobile Recharge,4.35,0.25,%,*,10,10,1,10000,,Active
4,VODAFONE,VF,Mobile Recharge,4.35,0.25,%,*,10,10,1,10000,,Active
5,RELIANCE JIO,RJ,Mobile Recharge,3.8,0.25,%,*,10,10,1,10000,,Active
6,MTNL - SPECIAL TARIFF,MM,Mobile Recharge,0,0,%,*,10,10,1,10000,,Active
7,MTNL - TALKTIME,MD,Mobile Recharge,2.5,0,%,*,10,10,1,10000,,Active
8,AIRTEL DTH,AD,DTH Recharge,4.25,0,%,3,10,10,1,10000,,Active
9,DISH TV DTH,DT,DTH Recharge,4.1,0,%,0,11,11,1,10000,,Active
10,TATA SKY DTH,TS,DTH Recharge,3.9,0,%,1,10,10,10,30000,,Active
11,VIDEOCON DTH,VD,DTH Recharge,4.1,0,%,*,4,10,10,10000,,Active
12,SUN TV DTH,ST,DTH Recharge,4.2,0,%,*,0,0,1,10000,,Active
13,AIRTEL POSTPAID,AP,Postpaid Payment,0,0,%,*,10,10,1,10000,,Active
14,BSNL POSTPAID,BP,Postpaid Payment,0,0,%,*,10,10,1,10000,,Active
15,IDEA POSTPAID,IP,Postpaid Payment,0,0,%,*,10,10,1,10000,,Active
16,VODAFONE POSTPAID,VP,Postpaid Payment,0,0,%,*,10,10,1,10000,,Active
17,JIO POSTPAID,RP,Postpaid Payment,0,0,%,*,10,10,1,10000,,Active
18,TATA POSTPAID,TP,Postpaid Payment,0,0,%,*,10,10,1,10000,,Active
19,AIRTEL LANDLINE,AL,Landline Bill,0,0,%,*,0,0,1,10000,,Active
20,BSNL LANDLINE - INDIVIDUAL,BL,Landline Bill,0,0,%,*,0,0,1,10000,,Active
21,BSNL LANDLINE - CORPORATE,IL,Landline Bill,0,0,%,*,0,0,1,10000,,Active
22,VODAFONE LANDLINE,VL,Landline Bill,0,0,%,*,0,0,1,10000,,Active
23,MTNL MUMBAI LANDLINE,ML,Landline Bill,0,0,%,*,0,0,1,10000,,Active
24,PGVCL - GUJARAT,PGVCL,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
25,MGVCL - GUJARAT,MGVCL,Electricity Bill,0,0,%,*,0,0,1,20000,,Active
26,UGVCL - GUJARAT,UGVCL,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
27,DGVCL - GUJARAT,DGVCL,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
28,AGRA-TORRENT POWER,TWE,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
29,BHARAT PETROLEUM CORPORATION LIMITED (BPCL),BPG,GAS Bill,0,0,%,*,0,0,1,49999,,Active
30,GUJARAT GAS COMPANY LTD,GGCL,GAS Bill,0,0,%,*,0,0,1,10000,,Active
31,MSEDC LIMITED,MSEDC,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
32,APDCL RAPDR,APDC,Electricity Bill,0,0,%,*,0,0,1,70000,,Active
33,APDCL-NON RAPDR,APDNR,Electricity Bill,0,0,%,*,0,0,1,70000,,Active
34,BANGALORE ELECTRICITY SUPPLY COMPANY,BESC,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
35,BHARATPUR ELECTRICITY SERVICES LTD,BESL,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
36,BIKANER ELECTRICITY SUPPLY LIMITED (BKESL),BKESL,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
